unique_fov,Marker,r,Theoretical G,Observed G,Permuted G,Degree of Clustering Permutation,Degree of Clustering Theoretical,Run
Lung9_Rep1_F01,h,90,0.9265256688803789,0.9724669603524229,0.9305329329641591,0.041934027388263795,0.045941291472043955,1
Lung9_Rep1_F01,h,100,0.9601739295017896,0.9827490261547023,0.9622167412985771,0.020532284856125127,0.022575096652912685,1
Lung9_Rep1_F01,h,110,0.9797603674146438,0.987085906793936,0.980603349846274,0.006482556947662088,0.007325539379292256,1
Lung9_Rep1_F01,h,120,0.9903563566667625,0.9903737259343148,0.9899484715038982,4.252544304166328e-4,1.736926755235846e-5,1
Lung9_Rep1_F01,h,130,0.9956919274906367,0.9936926605504587,0.9952166716527678,-0.001524011102309153,-0.001999266940178046,1
Lung9_Rep1_F01,h,140,0.9981956191135721,0.9948036951501155,0.9977321123650468,-0.0029284172149313115,-0.0033919239634566667,1
Lung9_Rep1_F01,h,150,0.9992914397565342,0.9959231217239372,0.9991138786932532,-0.003190756969316033,-0.003368318032597073,1
Lung9_Rep1_F01,h,160,0.9997391272640649,0.9964643488509134,0.9996822905570097,-0.00321794170609635,-0.003274778413151491,1
Lung9_Rep1_F01,h,170,0.9999099499508641,0.9970220369267421,0.9998217202584807,-0.002799683331738634,-0.0028879130241220574,1
Lung9_Rep1_F01,h,180,0.99997085644248,0.9975859987929994,0.999915791049714,-0.0023297922567145912,-0.0023848576494805984,1
Lung9_Rep1_F01,h,190,0.9999911569002472,0.9975624619134674,0.9999634292253784,-0.002400967311910973,-0.002428694986779778,1
Lung9_Rep1_F01,h,200,0.9999974842363792,0.9981481481481481,0.9999876923076924,-0.0018395441595442374,-0.0018493360882311238,1
Lung9_Rep1_F02,a,0,0,0,0,0,0,1
Lung9_Rep1_F02,a,10,0.008963797348897407,0,0,0,-0.008963797348897407,1
